gene1399	K01928
gene1400	K01929
gene1401	K01930
gene1402	K01932
gene1403	K01933
gene1404	K01934
gene1405	K01935
gene1406	K01937
gene1407	K01938
gene1408	K01939
gene1409	K01940
gene1410	K01941
gene1411	K01942
gene1412	K01945
gene1413	K01947
gene1414	K01948
gene1415	K01950
gene1416	K01951
gene1417	K01952
gene1418	K01953
gene1419	K01955
gene1420	K01956
gene1421	K01957
gene1422	K01958
gene1423	K01959
gene1424	K01960
gene1425	K01961
gene1426	K01962
gene1427	K01963
gene1428	K01965
gene1429	K01966
gene1430	K01968
gene1431	K01969
gene1432	K01971
gene1433	K01972
gene1434	K01973
gene1435	K01974
gene1436	K01975
gene1437	K01976
gene1438	K01989
gene1439	K01990
gene1440	K01991
gene1441	K01992
gene1442	K01993
gene1443	K01994
gene1444	K01995
gene1445	K01996
gene1446	K01997
gene1447	K01998
gene1448	K01999
gene1449	K02000
gene1450	K02001
gene1451	K02002
gene1452	K02003
gene1453	K02004
gene1454	K02005
gene1455	K02006
gene1456	K02007
gene1457	K02008
gene1458	K02009
gene1459	K02010
gene1460	K02011
gene1461	K02012
gene1462	K02013
gene1463	K02014
gene1464	K02015
gene1465	K02016
gene1466	K02017
gene1467	K02018
gene1468	K02019
gene1469	K02020
gene1470	K02021
gene1471	K02022
gene1472	K02023
gene1473	K02024
gene1474	K02025
gene1475	K02026
gene1476	K02027
gene1477	K02028
gene1478	K02029
gene1479	K02030
gene1480	K02031
gene1481	K02032
gene1482	K02033
gene1483	K02034
gene1484	K02035
gene1485	K02036
gene1486	K02037
gene1487	K02038
gene1488	K02039
gene1489	K02040
gene1490	K02041
gene1491	K02042
gene1492	K02043
gene1493	K02044
gene1494	K02045
gene1495	K02046
gene1496	K02047
gene1497	K02048
gene1498	K02049
gene1499	K02050
gene1500	K02051
gene1501	K02052
gene1502	K02053
gene1503	K02054
gene1504	K02055
gene1505	K02056
gene1506	K02057
gene1507	K02058
gene1508	K02059
gene1509	K02061
gene1510	K02062
gene1511	K02063
gene1512	K02064
gene1513	K02065
gene1514	K02066
gene1515	K02067
gene1516	K02068
gene1517	K02069
gene1518	K02071
gene1519	K02072
gene1520	K02073
gene1521	K02074
gene1522	K02075
gene1523	K02076
gene1524	K02077
gene1525	K02078
gene1526	K02079
gene1527	K02080
gene1528	K02081
gene1529	K02082
gene1530	K02083
gene1531	K02086
gene1532	K02087
